Gene stable ID	Human gene stable ID	Human gene name	Gene name
ENSMMUG00000023296	ENSG00000185220	PGBD2	
ENSMMUG00000036181	ENSG00000200495	RNU6-1205P	U6
ENSMMUG00000000634	ENSG00000171163	ZNF692	ZNF692
ENSMMUG00000037875	ENSG00000171161	ZNF672	ZNF672
ENSMMUG00000000632	ENSG00000175137	SH3BP5L	SH3BP5L
ENSMMUG00000064799			
ENSMMUG00000057389	ENSG00000259823	LYPD8	LYPD8
ENSMMUG00000031200			
ENSMMUG00000052613			
ENSMMUG00000031199	ENSG00000187701	OR2T27	OR2T27
ENSMMUG00000053841	ENSG00000196240	OR2T2	
ENSMMUG00000053841	ENSG00000177151	OR2T35	
ENSMMUG00000017095			
ENSMMUG00000025700	ENSG00000201602	Y_RNA	Y_RNA
ENSMMUG00000049101	ENSG00000184022	OR2T10	OR2T10
ENSMMUG00000048289			
ENSMMUG00000017368	ENSG00000188558	OR2G6	
ENSMMUG00000055842	ENSG00000189181	OR14I1	OR14I1
ENSMMUG00000031198			
ENSMMUG00000062331	ENSG00000174914	OR9G1	OR9G1
ENSMMUG00000049901	ENSG00000203661	OR2T5	
ENSMMUG00000049901	ENSG00000182783	OR2T29	
ENSMMUG00000049901	ENSG00000196944	OR2T4	
ENSMMUG00000064657	ENSG00000196240	OR2T2	
ENSMMUG00000064657	ENSG00000177151	OR2T35	
ENSMMUG00000005566	ENSG00000175143	OR2T1	OR2T1
ENSMMUG00000064874	ENSG00000198104	OR2T6	OR2T6
ENSMMUG00000039595	ENSG00000198601	OR2M2	
ENSMMUG00000039595	ENSG00000177186	OR2M7	
ENSMMUG00000039595	ENSG00000228198	OR2M3	
ENSMMUG00000039595	ENSG00000162727	OR2M5	
ENSMMUG00000038524	ENSG00000171180	OR2M4	OR2M4
ENSMMUG00000049432	ENSG00000177201	OR2T12	
ENSMMUG00000049432	ENSG00000177212	OR2T33	
ENSMMUG00000049432	ENSG00000177462	OR2T8	
ENSMMUG00000050812			
ENSMMUG00000059065	ENSG00000196071	OR2L13	
ENSMMUG00000064763			
ENSMMUG00000053957	ENSG00000198128	OR2L3	
ENSMMUG00000053957	ENSG00000279263	OR2L8	
ENSMMUG00000062908	ENSG00000200982	Y_RNA	Y_RNA
ENSMMUG00000057748	ENSG00000203663	OR2L2	OR2L2
ENSMMUG00000051218	ENSG00000200085	Y_RNA	Y_RNA
ENSMMUG00000050041	ENSG00000197454	OR2L5	OR2L5
ENSMMUG00000052261	ENSG00000198128	OR2L3	
ENSMMUG00000052261	ENSG00000279263	OR2L8	
ENSMMUG00000054556	ENSG00000199442	Y_RNA	Y_RNA
ENSMMUG00000060886	ENSG00000196071	OR2L13	
ENSMMUG00000062168	ENSG00000198128	OR2L3	
ENSMMUG00000062168	ENSG00000279263	OR2L8	
ENSMMUG00000059751			Y_RNA
ENSMMUG00000018891			
ENSMMUG00000056262	ENSG00000177201	OR2T12	
ENSMMUG00000056262	ENSG00000177212	OR2T33	
ENSMMUG00000056262	ENSG00000177462	OR2T8	
ENSMMUG00000038159	ENSG00000238243	OR2W3	OR2W3
ENSMMUG00000005570	ENSG00000162722	TRIM58	TRIM58
ENSMMUG00000006214	ENSG00000197591	OR11L1	OR11L1
ENSMMUG00000056211			
ENSMMUG00000049478	ENSG00000228336	OR9H1P	OR9H1P
ENSMMUG00000062849	ENSG00000221888	OR1C1	OR1C1
ENSMMUG00000064145	ENSG00000153230	OR14K1	OR14K1
ENSMMUG00000059455	ENSG00000241128	OR14A2	OR14A2
ENSMMUG00000016175	ENSG00000169214	OR6F1	OR6F1
ENSMMUG00000016176	ENSG00000197437	OR13G1	OR13G1
ENSMMUG00000058340			
ENSMMUG00000005955	ENSG00000169224	GCSAML	GCSAML
ENSMMUG00000012954	ENSG00000196242	OR2C3	OR2C3
ENSMMUG00000060427			
ENSMMUG00000005949	ENSG00000177535	OR2B11	OR2B11
ENSMMUG00000005946	ENSG00000162711	NLRP3	NLRP3
ENSMMUG00000052686			
ENSMMUG00000019585	ENSG00000162714	ZNF496	ZNF496
ENSMMUG00000064912	ENSG00000202079	Y_RNA	Y_RNA
ENSMMUG00000021266			
ENSMMUG00000058602			
ENSMMUG00000059322			
ENSMMUG00000004566	ENSG00000196418	ZNF124	ZNF124
ENSMMUG00000058214			
ENSMMUG00000023311	ENSG00000188295	ZNF669	
ENSMMUG00000050290	ENSG00000277462	ZNF670	ZNF670
ENSMMUG00000054567			
ENSMMUG00000031191			
ENSMMUG00000061999	ENSG00000237261	Metazoa_SRP	Metazoa_SRP
ENSMMUG00000016408	ENSG00000153207	AHCTF1	AHCTF1
ENSMMUG00000049281			
ENSMMUG00000053269			
ENSMMUG00000022208	ENSG00000143653	SCCPDH	SCCPDH
ENSMMUG00000056452			
ENSMMUG00000050866			
ENSMMUG00000057881	ENSG00000201925	RNA5S15	5S_rRNA
ENSMMUG00000062560	ENSG00000206764	RNU6-152P	U6
ENSMMUG00000064226			
ENSMMUG00000061675			5S_rRNA
ENSMMUG00000053105			5S_rRNA
ENSMMUG00000044246	ENSG00000242794	RN7SL299P	Metazoa_SRP
ENSMMUG00000052988			Metazoa_SRP
ENSMMUG00000051199			5S_rRNA
ENSMMUG00000058983			5S_rRNA
ENSMMUG00000050099	ENSG00000200381	RNA5S4	5S_rRNA
ENSMMUG00000053289			5S_rRNA
ENSMMUG00000050167			5S_rRNA
ENSMMUG00000054394	ENSG00000199337	RNA5S3	5S_rRNA
ENSMMUG00000050971			
ENSMMUG00000026576	ENSG00000201028	RNU6-151P	U6
ENSMMUG00000050302			Metazoa_SRP
ENSMMUG00000061587			U6
ENSMMUG00000064992			Metazoa_SRP
ENSMMUG00000025558	ENSG00000202408	RNVU1-21	U1
ENSMMUG00000060709			
ENSMMUG00000035621			U1
ENSMMUG00000050926	ENSG00000199565	Y_RNA	Y_RNA
ENSMMUG00000047025	ENSG00000242565	RN7SL372P	Metazoa_SRP
ENSMMUG00000051961	ENSG00000200796	RNU6-753P	U6
ENSMMUG00000056846			
ENSMMUG00000062726			
ENSMMUG00000036728			
ENSMMUG00000050964			Metazoa_SRP
ENSMMUG00000065137			
ENSMMUG00000057829	ENSG00000272051	Y_RNA	Y_RNA
ENSMMUG00000061941			Metazoa_SRP
ENSMMUG00000054812			Metazoa_SRP
ENSMMUG00000059354	ENSG00000252162	RNU6-830P	U6
ENSMMUG00000045839	ENSG00000242811	RN7SL229P	Metazoa_SRP
ENSMMUG00000054381			
ENSMMUG00000049093	ENSG00000242638	RN7SL294P	Metazoa_SRP
ENSMMUG00000057363			
ENSMMUG00000051050			
ENSMMUG00000054970			
ENSMMUG00000055981	ENSG00000100567	PSMA3	
ENSMMUG00000052461			
ENSMMUG00000058124			
ENSMMUG00000060426			Metazoa_SRP
ENSMMUG00000059666	ENSG00000207144	RNU6-1297P	U6
ENSMMUG00000060006			
ENSMMUG00000025681	ENSG00000207134	RNU6-106P	U6
ENSMMUG00000062580			
ENSMMUG00000001382	ENSG00000121634	GJA8	GJA8
ENSMMUG00000043586	ENSG00000117318	ID3	ID3
ENSMMUG00000052364			
ENSMMUG00000052910			
ENSMMUG00000064896			Metazoa_SRP
ENSMMUG00000060928			
ENSMMUG00000011380	ENSG00000162852	CNST	CNST
ENSMMUG00000002585	ENSG00000185860	CCDC190	CCDC190
ENSMMUG00000062933			
ENSMMUG00000059690	ENSG00000233056	ERVH48-1	
ENSMMUG00000055490	ENSG00000162851	TFB2M	TFB2M
ENSMMUG00000055003			
ENSMMUG00000056502			
ENSMMUG00000055345	ENSG00000200361	Y_RNA	Y_RNA
ENSMMUG00000026049	ENSG00000200610	Y_RNA	Y_RNA
