Human_ID	Mouse_ID	Mouse_name	Human_name
ENSG00000198888	ENSMUSG00000064341	mt-Nd1	MT-ND1
ENSG00000198763	ENSMUSG00000064345	mt-Nd2	MT-ND2
ENSG00000198804	ENSMUSG00000064351	mt-Co1	MT-CO1
ENSG00000198712	ENSMUSG00000064354	mt-Co2	MT-CO2
ENSG00000228253	ENSMUSG00000064356	mt-Atp8	MT-ATP8
ENSG00000198899	ENSMUSG00000064357	mt-Atp6	MT-ATP6
ENSG00000198938	ENSMUSG00000064358	mt-Co3	MT-CO3
ENSG00000198840	ENSMUSG00000064360	mt-Nd3	MT-ND3
ENSG00000212907	ENSMUSG00000065947	mt-Nd4l	MT-ND4L
ENSG00000198886	ENSMUSG00000064363	mt-Nd4	MT-ND4
ENSG00000198786	ENSMUSG00000064367	mt-Nd5	MT-ND5
ENSG00000198695	ENSMUSG00000064368	mt-Nd6	MT-ND6
ENSG00000198727	ENSMUSG00000064370	mt-Cytb	MT-CYB
ENSG00000134249	ENSMUSG00000043468	Adam30	ADAM30
ENSG00000134250	ENSMUSG00000027878	Notch2	NOTCH2
ENSG00000265808	ENSMUSG00000027879	Sec22b	SEC22B
ENSG00000273694	ENSMUSG00000088991	Gm22768	U2
ENSG00000277610	ENSMUSG00000064485	Gm23735	RNVU1-4
ENSG00000198019	ENSMUSG00000015947	Fcgr1	FCGR1B
ENSG00000188610	ENSMUSG00000055184	Fam72a	FAM72B
ENSG00000171943	ENSMUSG00000026425	Srgap2	SRGAP2C
ENSG00000202167	ENSMUSG00000089396	Gm23027	RNU1-114P
ENSG00000263513	ENSMUSG00000055184	Fam72a	FAM72C
ENSG00000196369	ENSMUSG00000026425	Srgap2	SRGAP2B
ENSG00000215784	ENSMUSG00000055184	Fam72a	FAM72D
ENSG00000270384	ENSMUSG00000089396	Gm23027	RNU1-154P
ENSG00000117262	ENSMUSG00000028096	Gpr89	GPR89A
ENSG00000174827	ENSMUSG00000038298	Pdzk1	PDZK1
ENSG00000117281	ENSMUSG00000038304	Cd160	CD160
ENSG00000265491	ENSMUSG00000028098	Rnf115	RNF115
ENSG00000186141	ENSMUSG00000028099	Polr3c	POLR3C
ENSG00000186364	ENSMUSG00000028100	Nudt17	NUDT17
ENSG00000131788	ENSMUSG00000028101	Pias3	PIAS3
ENSG00000198483	ENSMUSG00000038354	Ankrd35	ANKRD35
ENSG00000143127	ENSMUSG00000090210	Itga10	ITGA10
ENSG00000131779	ENSMUSG00000028102	Pex11b	PEX11B
ENSG00000265241	ENSMUSG00000038374	Rbm8a	RBM8A
ENSG00000265241	ENSMUSG00000078184	Rbm8a2	RBM8A
ENSG00000271601	ENSMUSG00000049288	Lix1l	LIX1L
ENSG00000272031	ENSMUSG00000049097	Ankrd34a	ANKRD34A
ENSG00000265972	ENSMUSG00000038393	Txnip	TXNIP
ENSG00000168509	ENSMUSG00000038403	Hjv	HJV
ENSG00000274408	ENSMUSG00000064631	n-R5s42	RNA5SP536
ENSG00000201142	ENSMUSG00000089396	Gm23027	RNU1-151P
ENSG00000131791	ENSMUSG00000038205	Prkab2	PRKAB2
ENSG00000131781	ENSMUSG00000028088	Fmo5	FMO5
ENSG00000131778	ENSMUSG00000028089	Chd1l	CHD1L
ENSG00000116128	ENSMUSG00000038256	Bcl9	BCL9
ENSG00000162836	ENSMUSG00000028093	Acp6	ACP6
ENSG00000265107	ENSMUSG00000057123	Gja5	GJA5
ENSG00000121634	ENSMUSG00000049908	Gja8	GJA8
ENSG00000188092	ENSMUSG00000028096	Gpr89	GPR89B
ENSG00000206791	ENSMUSG00000089396	Gm23027	RNU1-129P
ENSG00000201183	ENSMUSG00000064485	Gm23735	RNVU1-3
ENSG00000177144	ENSMUSG00000020029	Nudt4	NUDT4B
ENSG00000178104	ENSMUSG00000038170	Pde4dip	PDE4DIP
ENSG00000222788	ENSMUSG00000088991	Gm22768	RNU2-38P
ENSG00000206828	ENSMUSG00000064485	Gm23735	RNVU1-30
ENSG00000150337	ENSMUSG00000015947	Fcgr1	FCGR1A
ENSG00000203814	ENSMUSG00000105827	H2bc18	H2BC18
ENSG00000183598	ENSMUSG00000081058	H3c15	H3C13
ENSG00000270882	ENSMUSG00000091405	H4c14	H4C14
ENSG00000272196	ENSMUSG00000063954	H2ac19	H2AC19
ENSG00000203852	ENSMUSG00000100210	H3c7	H3C15
ENSG00000184260	ENSMUSG00000068855	H2ac20	H2AC20
ENSG00000184270	ENSMUSG00000063689	H2ac21	H2AC21
ENSG00000178096	ENSMUSG00000015943	Bola1	BOLA1
ENSG00000159164	ENSMUSG00000038486	Sv2a	SV2A
ENSG00000143368	ENSMUSG00000068856	Sf3b4	SF3B4
ENSG00000014914	ENSMUSG00000045934	Mtmr11	MTMR11
ENSG00000264522	ENSMUSG00000038495	Otud7b	OTUD7B
ENSG00000136631	ENSMUSG00000015747	Vps45	VPS45
ENSG00000023902	ENSMUSG00000015745	Plekho1	PLEKHO1
ENSG00000143401	ENSMUSG00000015749	Anp32e	ANP32E
ENSG00000222222	ENSMUSG00000064795	Gm22423	RNU2-17P
ENSG00000118298	ENSMUSG00000038526	Car14	CA14
ENSG00000117362	ENSMUSG00000015750	Aph1a	APH1A
ENSG00000118292	ENSMUSG00000038543	BC028528	C1orf54
ENSG00000159208	ENSMUSG00000038550	Ciart	CIART
ENSG00000266472	ENSMUSG00000054312	Mrps21	MRPS21
ENSG00000117360	ENSMUSG00000015748	Prpf3	PRPF3
ENSG00000163125	ENSMUSG00000028106	Rprd2	RPRD2
ENSG00000143374	ENSMUSG00000028107	Tars2	TARS2
ENSG00000143369	ENSMUSG00000028108	Ecm1	ECM1
ENSG00000143382	ENSMUSG00000015850	Adamtsl4	ADAMTSL4
ENSG00000143384	ENSMUSG00000038612	Mcl1	MCL1
ENSG00000253047	ENSMUSG00000089052	Gm23351	AL356356.1
ENSG00000143420	ENSMUSG00000038619	Ensa	ENSA
ENSG00000276103	ENSMUSG00000084748	Gm25289	U4
ENSG00000143457	ENSMUSG00000046519	Golph3l	GOLPH3L
ENSG00000143452	ENSMUSG00000028109	Hormad1	HORMAD1
ENSG00000163131	ENSMUSG00000038642	Ctss	CTSS
ENSG00000143387	ENSMUSG00000028111	Ctsk	CTSK
ENSG00000143437	ENSMUSG00000015522	Arnt	ARNT
ENSG00000283324	ENSMUSG00000105734	4930558C23Rik	CTXND2
ENSG00000143379	ENSMUSG00000015697	Setdb1	SETDB1
